iter	Passed	Remaining
0	0	898
1	1	881
2	2	877
3	3	824
4	4	805
5	4	790
6	5	750
7	5	734
8	6	717
9	7	718
10	7	713
11	8	713
12	9	714
13	10	708
14	10	707
15	11	715
16	12	717
17	12	708
18	13	705
19	14	698
20	14	694
21	15	694
22	16	706
23	17	709
24	18	714
25	19	712
26	19	704
27	20	701
28	20	700
29	21	696
30	22	691
31	22	689
32	23	692
33	24	692
34	25	692
35	25	691
36	26	692
37	27	691
38	28	695
39	29	697
40	30	703
41	31	711
42	32	715
43	33	718
44	34	725
45	34	723
46	35	720
47	36	719
48	37	720
49	37	720
50	38	722
51	39	724
52	40	724
53	41	721
54	41	718
55	42	715
56	43	712
57	43	708
58	44	706
59	44	703
60	46	709
61	47	715
62	48	714
63	48	712
64	49	711
65	50	709
66	50	706
67	51	703
68	52	702
69	52	702
70	53	703
71	54	703
72	55	701
73	55	698
74	56	696
75	57	694
76	57	690
77	58	690
78	59	688
79	59	686
80	60	687
81	61	689
82	62	685
83	62	682
84	63	681
85	64	680
86	64	680
87	65	677
88	65	675
89	66	672
90	67	670
91	68	673
92	68	672
93	69	671
94	70	670
95	71	668
96	71	666
97	72	664
98	72	663
99	73	661
100	74	660
101	74	660
102	75	660
103	76	662
104	77	661
105	78	659
106	78	658
107	79	656
108	80	654
109	80	652
110	81	651
111	82	650
112	82	650
113	83	650
114	84	650
115	85	649
116	85	646
117	86	645
118	86	643
119	87	642
120	88	640
121	88	638
122	89	637
123	90	639
124	91	641
125	92	641
126	93	639
127	93	638
128	94	638
129	95	637
130	95	636
131	96	636
132	97	638
133	99	642
134	100	642
135	101	646
136	102	648
137	103	649
138	104	649
139	105	650
140	106	650
141	107	648
142	107	647
143	108	645
144	109	644
145	109	643
146	110	641
147	111	640
148	111	638
149	112	640
150	113	640
151	114	640
152	115	639
153	116	639
154	117	638
155	117	637
156	118	636
157	119	635
158	120	636
159	121	639
160	122	638
161	123	637
162	123	636
163	124	634
164	125	633
165	125	631
166	126	629
167	126	628
168	127	628
169	128	629
170	129	628
171	130	627
172	131	626
173	131	624
174	132	623
175	132	621
176	133	620
177	134	618
178	134	617
179	135	617
180	136	617
181	137	616
182	137	614
183	138	613
184	138	612
185	139	610
186	140	608
187	140	607
188	141	606
189	142	605
190	143	606
191	144	606
192	144	606
193	145	605
194	146	604
195	147	603
196	147	601
197	148	601
198	149	599
199	150	600
200	151	600
201	151	599
202	152	599
203	153	597
204	153	596
205	154	595
206	155	594
207	155	593
208	156	592
209	157	592
210	158	592
211	159	592
212	160	591
213	160	589
214	161	588
215	161	587
216	162	585
217	162	584
218	163	583
219	164	581
220	165	583
221	166	584
222	167	583
223	168	582
224	168	580
225	169	579
226	169	578
227	170	577
228	171	576
229	171	575
230	172	575
231	173	575
232	174	574
233	174	572
234	175	571
235	176	570
236	176	568
237	177	567
238	178	566
239	178	565
240	179	564
241	180	565
242	181	564
243	182	563
244	182	562
245	183	562
246	184	561
247	184	560
248	185	559
249	186	558
250	186	557
251	187	557
252	188	557
253	189	557
254	190	556
255	191	555
256	191	554
257	192	553
258	193	552
259	193	551
260	194	550
261	195	550
262	196	551
263	197	549
264	197	548
265	198	547
266	199	546
267	199	546
268	200	545
269	201	544
270	201	543
271	202	542
272	203	542
273	204	541
274	204	540
275	205	539
276	206	538
277	206	536
278	207	535
279	208	534
280	208	534
281	209	533
282	211	535
283	212	535
284	213	535
285	214	534
286	214	533
287	215	532
288	215	530
289	216	529
290	217	528
291	217	528
292	218	527
293	219	526
294	219	525
295	220	524
296	221	523
297	221	522
298	222	521
299	222	520
300	223	518
301	224	517
302	225	518
303	226	518
304	227	517
305	227	516
306	228	515
307	229	514
308	229	513
309	230	512
310	230	511
311	231	510
312	233	512
313	234	511
314	234	510
315	235	509
316	236	508
317	236	508
318	237	506
319	238	505
320	238	504
321	239	503
322	240	503
323	241	503
324	241	502
325	242	501
326	243	500
327	243	498
328	244	497
329	244	496
330	245	496
331	246	495
332	246	494
333	247	493
334	248	493
335	249	492
336	249	491
337	250	490
338	251	489
339	251	488
340	252	488
341	253	487
342	253	485
343	254	485
344	255	485
345	256	484
346	257	483
347	257	482
348	258	481
349	259	481
350	259	480
351	260	479
352	260	478
353	261	477
354	262	477
355	263	476
356	264	476
357	264	475
358	265	474
359	266	473
360	266	472
361	267	471
362	268	470
363	268	469
364	270	469
365	270	469
366	271	468
367	272	467
368	272	466
369	273	465
370	274	464
371	275	464
372	275	463
373	276	462
374	277	462
375	278	461
376	278	460
377	279	459
378	280	459
379	280	458
380	281	457
381	282	456
382	282	455
383	283	454
384	283	453
385	285	453
386	286	453
387	287	452
388	287	451
389	288	451
390	289	450
391	289	449
392	290	448
393	291	447
394	291	447
395	293	446
396	293	446
397	294	445
398	294	444
399	295	443
400	296	442
401	296	441
402	297	440
403	298	440
404	299	439
405	300	439
406	301	438
407	301	437
408	302	437
409	303	436
410	303	435
411	304	434
412	305	433
413	305	432
414	306	432
415	307	431
416	308	431
417	308	430
418	309	429
419	310	428
420	310	427
421	311	426
422	312	426
423	313	425
424	313	424
425	314	423
426	315	423
427	316	422
428	316	421
429	317	420
430	318	420
431	318	419
432	319	418
433	319	417
434	320	416
435	321	415
436	322	414
437	322	414
438	323	413
439	324	412
440	324	411
441	325	410
442	325	409
443	326	409
444	327	408
445	327	407
446	328	406
447	329	406
448	330	405
449	331	404
450	331	403
451	332	403
452	333	402
453	333	401
454	334	400
455	334	399
456	335	398
457	336	397
458	337	397
459	337	396
460	338	395
461	339	394
462	339	393
463	340	392
464	340	392
465	341	391
466	342	390
467	342	389
468	343	389
469	344	388
470	345	388
471	346	387
472	346	386
473	347	385
474	348	384
475	348	384
476	349	383
477	350	382
478	350	381
479	351	380
480	352	380
481	353	379
482	353	378
483	354	377
484	355	377
485	355	376
486	356	375
487	356	374
488	357	373
489	358	372
490	359	372
491	359	371
492	360	370
493	361	369
494	361	369
495	362	368
496	363	367
497	363	366
498	364	365
499	365	365
500	366	364
501	366	363
502	367	363
503	368	362
504	369	361
505	369	360
506	370	360
507	370	359
508	371	358
509	372	357
510	372	356
511	373	356
512	374	355
513	375	354
514	375	353
515	376	353
516	376	352
517	377	351
518	377	350
519	378	349
520	379	348
521	379	347
522	380	347
523	381	346
524	382	346
525	383	345
526	383	344
527	384	343
528	385	342
529	385	342
530	386	341
531	387	340
532	387	339
533	388	339
534	389	338
535	390	338
536	391	337
537	391	336
538	392	335
539	393	334
540	393	333
541	394	333
542	394	332
543	395	331
544	396	331
545	397	330
546	397	329
547	398	328
548	399	327
549	399	327
550	400	326
551	400	325
552	401	324
553	402	323
554	402	322
555	403	322
556	404	321
557	405	320
558	405	320
559	406	319
560	407	318
561	407	317
562	408	316
563	409	316
564	409	315
565	410	314
566	411	314
567	412	313
568	413	312
569	413	312
570	414	311
571	414	310
572	415	309
573	416	308
574	416	308
575	417	307
576	418	306
577	419	306
578	420	305
579	420	304
580	421	303
581	422	303
582	422	302
583	423	301
584	423	300
585	424	299
586	425	299
587	426	298
588	426	297
589	427	297
590	428	296
591	428	295
592	429	294
593	430	293
594	430	293
595	431	292
596	432	291
597	432	290
598	433	290
599	434	289
600	435	289
601	435	288
602	436	287
603	437	286
604	437	285
605	438	285
606	439	284
607	440	283
608	441	283
609	441	282
610	442	281
611	443	280
612	443	280
613	444	279
614	445	278
615	445	277
616	446	277
617	446	276
618	447	275
619	448	274
620	449	274
621	449	273
622	450	272
623	451	271
624	451	271
625	452	270
626	452	269
627	453	268
628	454	267
629	455	267
630	455	266
631	456	265
632	457	265
633	457	264
634	458	263
635	459	262
636	459	262
637	460	261
638	461	260
639	461	259
640	462	259
641	463	258
642	464	257
643	464	257
644	465	256
645	466	255
646	466	254
647	467	253
648	467	252
649	468	252
650	469	251
651	469	250
652	470	250
653	471	249
654	472	248
655	472	247
656	473	247
657	474	246
658	474	245
659	475	244
660	475	244
661	476	243
662	477	242
663	478	242
664	479	241
665	480	240
666	481	240
667	481	239
668	482	238
669	483	237
670	483	237
671	484	236
672	485	235
673	486	235
674	486	234
675	487	233
676	488	232
677	488	232
678	489	231
679	490	230
680	490	229
681	491	229
682	492	228
683	493	227
684	493	227
685	494	226
686	495	225
687	495	224
688	496	224
689	497	223
690	497	222
691	498	221
692	499	221
693	500	220
694	500	219
695	501	219
696	502	218
697	502	217
698	503	216
699	504	216
700	504	215
701	505	214
702	506	213
703	507	213
704	508	212
705	508	211
706	509	211
707	510	210
708	511	209
709	512	209
710	512	208
711	513	207
712	513	206
713	515	206
714	516	205
715	518	205
716	518	204
717	520	204
718	524	204
719	537	209
720	539	208
721	543	209
722	545	208
723	559	213
724	560	212
725	561	211
726	562	211
727	562	210
728	563	209
729	564	208
730	565	208
731	566	207
732	567	206
733	568	206
734	569	205
735	570	204
736	571	203
737	572	203
738	574	202
739	574	201
740	575	201
741	576	200
742	576	199
743	577	198
744	578	198
745	579	197
746	580	196
747	581	195
748	582	195
749	583	194
750	583	193
751	584	192
752	585	191
753	585	191
754	586	190
755	587	189
756	588	188
757	589	188
758	589	187
759	590	186
760	590	185
761	591	184
762	592	183
763	592	183
764	593	182
765	593	181
766	594	180
767	595	179
768	596	179
769	597	178
770	597	177
771	598	176
772	598	175
773	599	175
774	600	174
775	600	173
776	601	172
777	602	171
778	603	171
779	603	170
780	604	169
781	605	168
782	605	167
783	606	167
784	606	166
785	607	165
786	608	164
787	608	163
788	609	162
789	610	162
790	610	161
791	611	160
792	612	159
793	612	159
794	613	158
795	614	157
796	614	156
797	615	155
798	615	154
799	616	154
800	617	153
801	618	152
802	618	151
803	619	150
804	619	150
805	620	149
806	621	148
807	621	147
808	622	146
809	622	146
810	623	145
811	624	144
812	624	143
813	625	143
814	626	142
815	627	141
816	627	140
817	628	139
818	629	139
819	629	138
820	630	137
821	631	136
822	631	135
823	632	135
824	633	134
825	633	133
826	634	132
827	635	131
828	635	131
829	636	130
830	636	129
831	637	128
832	638	127
833	638	127
834	639	126
835	640	125
836	641	124
837	642	124
838	642	123
839	643	122
840	643	121
841	644	120
842	645	120
843	645	119
844	646	118
845	647	117
846	648	117
847	648	116
848	649	115
849	650	114
850	650	113
851	651	113
852	652	112
853	652	111
854	653	110
855	653	110
856	654	109
857	655	108
858	656	107
859	657	106
860	657	106
861	658	105
862	659	104
863	659	103
864	660	103
865	660	102
866	661	101
867	662	100
868	663	99
869	663	99
870	664	98
871	665	97
872	666	96
873	666	96
874	667	95
875	668	94
876	668	93
877	669	93
878	670	92
879	671	91
880	672	90
881	672	90
882	673	89
883	674	88
884	674	87
885	675	86
886	675	86
887	676	85
888	677	84
889	678	83
890	679	83
891	679	82
892	680	81
893	680	80
894	681	79
895	681	79
896	682	78
897	683	77
898	683	76
899	684	76
900	685	75
901	686	74
902	686	73
903	687	73
904	687	72
905	688	71
906	689	70
907	689	69
908	690	69
909	690	68
910	691	67
911	692	66
912	693	66
913	694	65
914	694	64
915	695	63
916	695	62
917	696	62
918	696	61
919	697	60
920	698	59
921	698	59
922	699	58
923	700	57
924	701	56
925	701	56
926	702	55
927	703	54
928	703	53
929	704	53
930	704	52
931	705	51
932	705	50
933	706	49
934	707	49
935	708	48
936	709	47
937	709	46
938	710	46
939	710	45
940	711	44
941	711	43
942	712	43
943	713	42
944	714	41
945	715	40
946	716	40
947	717	39
948	717	38
949	718	37
950	719	37
951	719	36
952	720	35
953	721	34
954	722	34
955	723	33
956	724	32
957	724	31
958	725	31
959	726	30
960	726	29
961	727	28
962	728	27
963	728	27
964	730	26
965	730	25
966	731	24
967	732	24
968	733	23
969	733	22
970	734	21
971	735	21
972	735	20
973	736	19
974	737	18
975	738	18
976	739	17
977	739	16
978	740	15
979	741	15
980	741	14
981	742	13
982	743	12
983	743	12
984	744	11
985	745	10
986	746	9
987	746	9
988	747	8
989	748	7
990	748	6
991	749	6
992	749	5
993	750	4
994	751	3
995	752	3
996	752	2
997	753	1
998	754	0
999	754	0
