iter	Passed	Remaining
0	152	152463
1	153	76577
2	154	51284
3	155	38622
4	155	30978
5	156	25904
6	156	22269
7	157	19554
8	158	17431
9	158	15733
10	159	14352
11	160	13201
12	161	12231
13	161	11401
14	162	10677
15	163	10039
16	163	9478
17	164	8973
18	165	8521
19	165	8117
20	166	7750
21	166	7416
22	167	7117
23	168	6841
24	168	6586
25	169	6352
26	170	6130
27	170	5934
28	171	5745
29	172	5567
30	172	5403
31	173	5250
32	174	5107
33	174	4968
34	175	4836
35	175	4711
36	176	4596
37	177	4489
38	178	4386
39	178	4288
40	179	4193
41	179	4104
42	180	4019
43	181	3938
44	181	3860
45	182	3787
46	183	3715
47	183	3646
48	184	3580
49	185	3515
50	185	3453
51	186	3395
52	186	3338
53	187	3283
54	188	3233
55	189	3187
56	189	3141
57	190	3094
58	191	3049
59	191	3003
60	192	2958
61	192	2916
62	193	2875
63	193	2835
64	194	2796
65	195	2759
66	195	2726
67	196	2687
68	196	2655
69	197	2622
70	197	2589
71	198	2557
72	198	2526
73	199	2496
74	200	2467
75	200	2439
76	201	2412
77	201	2385
78	202	2359
79	203	2336
80	204	2314
81	204	2292
82	205	2269
83	206	2247
84	206	2222
85	207	2201
86	207	2177
87	208	2157
88	208	2135
89	209	2115
90	209	2095
91	210	2077
92	211	2059
93	211	2042
94	212	2024
95	213	2007
96	213	1991
97	214	1975
98	215	1958
99	215	1943
100	216	1927
101	216	1910
102	217	1895
103	218	1882
104	219	1870
105	220	1856
106	220	1842
107	221	1828
108	221	1814
109	222	1799
110	223	1786
111	223	1772
112	224	1758
113	224	1746
114	225	1734
115	225	1721
116	226	1710
117	227	1698
118	227	1685
119	228	1673
120	228	1662
121	229	1651
122	229	1638
123	230	1627
124	230	1616
125	231	1606
126	232	1595
127	232	1584
128	233	1575
129	234	1567
130	234	1557
131	235	1547
132	235	1537
133	236	1528
134	237	1518
135	237	1509
136	238	1500
137	238	1490
138	239	1482
139	239	1473
140	240	1466
141	241	1458
142	242	1450
143	242	1442
144	243	1434
145	243	1427
146	244	1418
147	245	1410
148	245	1403
149	246	1395
150	246	1387
151	247	1379
152	248	1373
153	248	1366
154	249	1361
155	250	1353
156	250	1346
157	251	1339
158	251	1332
159	252	1325
160	252	1318
161	253	1311
162	253	1304
163	254	1297
164	255	1290
165	255	1285
166	256	1279
167	257	1273
168	257	1267
169	258	1260
170	258	1254
171	259	1249
172	260	1243
173	260	1236
174	261	1231
175	261	1225
176	262	1219
177	263	1214
178	263	1210
179	264	1204
180	264	1197
181	265	1192
182	265	1187
183	266	1181
184	267	1176
185	267	1171
186	268	1166
187	268	1161
188	269	1156
189	270	1151
190	270	1146
191	271	1142
192	272	1138
193	272	1133
194	273	1128
195	274	1124
196	274	1118
197	275	1113
198	275	1109
199	276	1105
200	276	1100
201	277	1095
202	277	1090
203	278	1086
204	279	1082
205	279	1078
206	280	1073
207	281	1070
208	281	1066
209	282	1062
210	283	1058
211	283	1055
212	284	1050
213	285	1047
214	285	1043
215	286	1039
216	286	1035
217	287	1031
218	288	1027
219	288	1024
220	289	1020
221	289	1016
222	290	1012
223	291	1008
224	291	1005
225	292	1001
226	292	997
227	293	993
228	294	989
229	294	986
230	295	982
231	295	978
232	296	975
233	296	971
234	297	967
235	297	964
236	298	960
237	298	957
238	299	953
239	300	950
240	300	946
241	301	943
242	301	939
243	302	936
244	302	933
245	303	929
246	304	926
247	304	923
248	305	920
249	305	916
250	306	913
251	306	910
252	307	907
253	307	904
254	308	901
255	309	899
256	310	897
257	311	894
258	311	891
259	312	888
260	312	885
261	313	882
262	313	879
263	314	876
264	315	873
265	315	870
266	316	868
267	317	865
268	317	863
269	318	860
270	318	857
271	319	854
272	319	851
273	320	848
274	320	846
275	321	843
276	321	840
277	322	837
278	323	834
279	323	832
280	324	830
281	325	828
282	325	825
283	326	823
284	327	820
285	327	818
286	328	815
287	328	812
288	329	810
289	329	807
290	330	805
291	331	802
292	331	800
293	332	798
294	333	796
295	333	793
296	334	791
297	334	788
298	335	786
299	335	783
300	336	781
301	337	779
302	337	776
303	338	774
304	338	771
305	339	770
306	340	768
307	341	766
308	341	764
309	342	761
310	342	759
311	343	757
312	344	755
313	344	752
